x,y,f
-0.604028967,-0.037420236,0.161625895
0.279606127,0.890892699,0.134236451
0.936799899,1.693270265,0.050257276
1.414559734,1.756009029,0.047237551
0.62221423,0.385654185,0.186291402
0.041344751,0.523874728,0.176856682
-1.914265367,-1.490020836,0.03572143
-1.01292477,-0.116298847,0.09366338
0.84504427,0.678987621,0.157772115
-0.245199779,-0.210074863,0.219840989
0.690108347,1.473393992,0.067211665
0.522932045,0.792080515,0.165475558
0.957602215,0.009129911,0.090589438
-1.143230417,0.255291648,0.036971288
-1.271135967,-0.339859118,0.073107425
0.351334001,0.324896583,0.212058984
0.093686848,-0.483866616,0.166044373
1.880912754,1.810236991,0.030894
-0.357044825,0.148576098,0.180516155
-1.678600576,-1.009252604,0.0535274
-0.824392438,0.390546888,0.061224665
-0.385960164,0.516477051,0.111533353
-1.499330924,-1.370054037,0.067192422
1.070544345,0.084373057,0.080213027
1.408480469,0.378069477,0.056594541
0.159592567,-0.815821995,0.093213409
1.272790117,0.656327964,0.09470327
-1.379390304,-1.180244672,0.084197532
-1.176729635,-1.239500683,0.096387931
0.582611743,-0.612450709,0.065595969
1.280664709,0.151242026,0.055523613
-1.668558724,-0.980798248,0.053973198
0.097860664,0.96487971,0.100117373
1.516255782,1.007219548,0.071476448
0.11000245,-1.146205265,0.049238318
-0.260643551,-0.207060854,0.219161108
-0.088677314,0.183844366,0.212385845
-0.369172514,-1.408387661,0.055967026
-0.33998979,0.413720594,0.1383767
-0.079177535,0.284492816,0.200978952
-0.72040611,-0.07429016,0.143939505
-0.044117984,-1.093352731,0.072170021
-0.406255112,-0.562696924,0.193619712
-0.725928603,0.226389487,0.099485297
-0.051569101,1.06112922,0.066682328
0.336348869,-0.539426737,0.115812496
0.610880192,0.782855166,0.166488059
0.101703695,-0.805410134,0.10325016
0.787443315,0.3390677,0.15827166
-0.299840498,-0.509276044,0.198452442
-1.468090355,-0.250528179,0.040659199
1.907909505,1.766809581,0.031040035
-1.737206323,-0.297761365,0.02048581
-1.671007141,-1.694727182,0.04336769
-0.754399849,-0.272376225,0.158931874
-0.964057031,-1.214592524,0.107412154
-0.516369634,1.05565074,0.025409047
-0.747560889,-0.147508724,0.147598002
-0.472487903,-0.394053789,0.202200115
0.341589871,-0.110982365,0.188397797
-0.138643133,-0.236543235,0.220381876
1.048279247,0.092258682,0.084806547
-0.893882142,-0.289543499,0.134625471
0.721195675,0.417880095,0.173274212
-2.481133397,-2.370651446,0.007217908
-1.317359288,-1.711270685,0.051943345
2.11058679,1.975843877,0.019496676
-0.323843564,1.151605063,0.030974661
-0.852212217,-0.113881482,0.123276416
2.132791723,1.484958126,0.02330495
1.40851253,1.16628622,0.081882097
2.458378335,1.556303638,0.01063363
0.319833711,0.04811452,0.208583322
-0.89176643,-0.976219233,0.135444048
0.004662204,-0.778199643,0.122057974
0.482080697,0.76761947,0.168238739
-0.447693898,0.616654398,0.084438469
0.403429547,-0.85973419,0.055026888
1.684347111,1.292452701,0.054433411
-0.535280532,-0.540417322,0.191572172
0.667032861,-0.212292336,0.112436537
0.539090843,-0.356301788,0.112497833
0.546147367,0.434891339,0.194992693
-0.210370056,-0.397685635,0.208466218
1.003611579,-0.460371288,0.033764218
-0.066046148,0.415868069,0.182114207
0.547240042,-0.069579804,0.15765846
1.081232913,0.938051268,0.12286315
-1.155746916,-0.734597251,0.115401029
1.464899251,1.765601957,0.045691102
1.903833633,1.746796192,0.031718997
0.17453417,0.871827601,0.126725002
-0.2080004,-1.001503203,0.106026921
-0.05593935,-0.052559443,0.22644722
2.477524213,0.947770052,0.005356739
-0.328305754,-0.408482456,0.208386301
0.602138819,1.07825048,0.123351565
1.482977733,1.347373623,0.069310011
0.473465959,-0.038100428,0.175780677
-0.91062622,-1.166678665,0.114116838
1.135068404,2.155820338,0.018875468
0.024732984,-1.112042676,0.062121239
-1.047955972,-1.499583844,0.073659767
1.370858218,0.738892825,0.083714581
-1.066365646,-1.699455942,0.052411641
-2.363425729,-1.857375875,0.013471528
-0.043943149,-1.219427944,0.054104068
-0.935336482,-0.895347956,0.138866006
-0.889700264,0.449350692,0.046449816
-1.090265649,-0.661367183,0.123526276
-0.64885604,-1.693222059,0.039483205
-0.951716298,0.973614751,0.009062445
-0.96177885,-0.40641253,0.132025313
0.310038624,-0.630047127,0.103710277
0.386910405,-1.134243392,0.028013732
-0.357059836,-0.778029099,0.161124383
-1.21732289,-0.725791173,0.105961626
0.619236028,1.292263299,0.08977159
-1.188202596,-1.227232126,0.096644736
-0.910760712,-0.693306448,0.149526556
1.986955532,2.369948529,0.012492795
0.425842387,1.280376289,0.078638132
-0.404426273,1.002660513,0.038556842
2.003149074,1.712384473,0.028080938
1.688301099,0.853123464,0.048195737
1.843052453,1.459600307,0.040605339
-1.532470953,-1.302474643,0.067007982
0.494250416,1.345602509,0.073727836
0.147747426,0.154427908,0.22382615
0.426111198,0.458490685,0.202162801
-2.01182804,-1.04780192,0.025792855
1.12528148,1.566245506,0.066525173
-1.333549494,-1.272137807,0.083898464
0.334561301,-0.454735367,0.131757986
-0.2664077,-0.828617218,0.144690431
0.333344445,0.885535013,0.14011314
-0.170089277,0.876053002,0.081515951
1.238433227,1.137924258,0.098586101
-0.88166851,-1.409869662,0.082695282
-0.848794124,0.049518073,0.10251257
-0.369334376,1.079031891,0.034071352
0.337564048,0.712150432,0.170966084
1.514726384,2.523310442,0.008669287
0.900799945,-0.6560581,0.027386032
-0.549655331,-0.918455505,0.147140291
-1.238036798,-1.072282617,0.101598613
0.281773717,-0.804717636,0.078170378
0.040980241,1.167312819,0.060889824
-1.271294043,-1.976655931,0.031555748
1.003335563,1.217087096,0.106131317
0.106583366,0.557144373,0.178319245
-0.280375541,0.153157614,0.192214557
-1.717506739,-1.007829543,0.049514081
0.414871506,-0.218602688,0.159179472
2.202971991,2.177687484,0.013759205
-1.211447878,-0.584146609,0.100650545
-0.053935408,0.497278254,0.169289703
0.562204279,0.109647867,0.177758471
-0.661452698,-0.529449799,0.181639606
-1.448686318,-1.449547728,0.066538615
0.071426206,-0.799111232,0.108703451
-0.789720327,-0.880504531,0.149869001
0.369950587,-1.409304212,0.012385869
-0.575459526,-1.013049228,0.132882775
0.677746789,1.030183954,0.133010051
1.949592699,-0.193219476,0.002678471
2.031513466,0.647423296,0.015063404
-0.511051762,0.179853967,0.147461839
0.326681606,-1.106543779,0.034851498
-0.323591714,-1.096553158,0.100561232
-0.663014236,-0.966357777,0.142119919
-1.538312506,-1.137819,0.069354285
0.708314933,0.832894989,0.158211833
1.00387165,0.83792787,0.134965315
1.2283571,2.367618273,0.011119721
-0.680652411,-0.603537419,0.17737779
-1.048677758,-1.091746024,0.116011869
1.022720727,0.15858793,0.096721326
-3.074334391,-3.37877444,0.000478763
0.798202238,0.034359268,0.123495842
-0.059100358,-0.273041148,0.214513767
0.000944829,-0.161831001,0.220841509
-1.078686905,-0.947953744,0.122693242
-1.520126281,-2.113275422,0.024313792
0.404565284,0.285526706,0.209013161
-1.189902646,0.143910552,0.041227094
0.129318953,0.096190451,0.224946364
