code,name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
600146,大元股,1531125205,-1992738.88,-121376966.4,-121764217.5,-0.608821087,1.749208074,-34.80552692,-30.03689693,405382146.3,200000000
900950,新城Ｂ,106581996.9,-6138073.95,-209356318.2,-191123711.4,-0.575822988,1.061014292,-54.27099267,-24.91686955,767045438.8,331914000
600082,ST海,536170246.4,22818078.03,-83143687.79,-83249934.87,-0.558796465,2.172568661,-25.72054338,-23.72259723,350930945.9,148980783
600069,银鸽投,183099889,1185388.96,-228540095.5,-227809995.5,-0.613051656,1.017307903,-60.26215414,-23.71287218,960701823.9,371600000
600807,济南百,41822074.43,-1555296.59,-95266780.06,-92088995.29,-0.853252661,1.275311943,-66.9054082,-22.5810569,407815257.2,107926994.5
600622,ST嘉,190805857.2,36168801.02,-146869030.6,-149637911,-0.448436181,1.332843605,-33.64507128,-20.09242249,744747981.8,333688309
600646,国嘉实,6924218.04,1492853.61,-173715966.5,-168139583,-0.935616853,0.56631811,-165.2104773,-20.04970297,838613835.3,179709870
600792,ST马,80638328.04,8983359.81,-25752813.6,-25752813.6,-0.504957129,1.386874577,-36.40971849,-16.65825809,154594876.9,51000000
600139,鼎天科,193930587.3,21352112.12,-63466471.6,-63466471.6,-0.83497309,1.366597507,-61.09868387,-15.48062594,409973549.3,76010200
600858,ST渤,27752937.85,5060038.76,-34137030.35,-33635161.1,-0.277182285,0.884503363,-31.33761798,-15.17480182,221651402.8,121346720
600786,ST东,489537181.4,4035372.31,-180222782.3,-180596361.7,-0.854808313,0.71453473,-119.6314576,-13.8833057,1300816719,211271181
600749,西藏圣,30733718.75,11049925.4,-27086362.27,-26837744.3,-0.335471804,1.043288176,-32.15523874,-13.84900661,193788226.5,80000000
600781,民丰实,210705933.8,-555485.29,-74470628.68,-70386466.75,-0.396336121,1.098450466,-36.08138307,-12.91266855,545096209,177592864
600669,ST鞍合,48449362.82,-2235032.47,-102634566.6,-98735225,-0.425269721,0.944427594,-45.02936214,-11.2338045,878911725.7,232170832
600715,ST松,0,0,-62710244.53,-62710244.53,-0.279636864,0.859760549,-32.52497039,-10.47309135,598774921.9,224256000
600875,东方电,370292656.3,33400146.98,-261499006.4,-261349054.2,-0.580775676,1.968514514,-29.50324582,-10.1375756,2578023232,450000000
600234,天龙集,139638844.8,41930016.54,-68383134.29,-68383134.29,-0.728565249,2.346246711,-31.05237169,-10.06582955,679359152.4,93860000
600743,ST幸,287408661.5,8183136.38,-24150875.01,-24150875.01,-0.07720868,0.32737141,-23.58442962,-9.550825642,252866882,312800000
600621,上海金,904430571.5,188272143.2,-118765856.7,-126165071.2,-0.240735203,1.599337531,-15.05218245,-8.944249749,1410571873,524082351
600766,烟台发,218272192.2,28219403.66,-80683864.12,-75390442.75,-0.440453462,1.522050277,-28.93816772,-8.902952513,846802705.5,171165513
600693,东百集,603507594.1,44021672.74,-61942682.63,-59436774.03,-0.45024895,2.423820204,-18.57600448,-8.856298462,671124333.5,132008690
